0C7C7      //Pixel 0: 7.803802e-01
0D5D5      //Pixel 1218: 8.352814e-01
0D6D6      //Pixel 1219: 8.392029e-01
0DADA      //Pixel 1220: 8.548889e-01
0E0E0      //Pixel 1221: 8.784180e-01
0E3E3      //Pixel 1222: 8.901825e-01
0E4E4      //Pixel 1223: 8.941040e-01
0E7E7      //Pixel 1224: 9.058685e-01
0E8E8      //Pixel 1225: 9.097900e-01
0E9E9      //Pixel 1226: 9.137115e-01
0E9E9      //Pixel 1227: 9.137115e-01
0ECEC      //Pixel 1228: 9.254761e-01
0EEEE      //Pixel 1229: 9.333191e-01
0EFEF      //Pixel 1230: 9.372406e-01
0F0F0      //Pixel 1231: 9.411621e-01
0F0F0      //Pixel 1232: 9.411621e-01
0F2F2      //Pixel 1233: 9.490051e-01
0F3F3      //Pixel 1234: 9.529266e-01
0F4F4      //Pixel 1235: 9.568481e-01
0F4F4      //Pixel 1236: 9.568481e-01
0F4F4      //Pixel 1237: 9.568481e-01
0F6F6      //Pixel 1238: 9.646912e-01
0F6F6      //Pixel 1239: 9.646912e-01
0F7F7      //Pixel 1240: 9.686127e-01
0F7F7      //Pixel 1241: 9.686127e-01
0F7F7      //Pixel 1242: 9.686127e-01
0F6F6      //Pixel 1243: 9.646912e-01
0D9D9      //Pixel 1244: 8.509674e-01
07777      //Pixel 1245: 4.666595e-01
08080      //Pixel 1246: 5.019531e-01
08383      //Pixel 1247: 5.137177e-01
0ADAD      //Pixel 1248: 6.784210e-01
0EEEE      //Pixel 1249: 9.333191e-01
0A7A7      //Pixel 1250: 6.548920e-01
07474      //Pixel 1251: 4.548950e-01
07C7C      //Pixel 1252: 4.862671e-01
08888      //Pixel 1253: 5.333252e-01
08282      //Pixel 1254: 5.097961e-01
0DADA      //Pixel 1255: 8.548889e-01
0F4F4      //Pixel 1256: 9.568481e-01
0E9E9      //Pixel 1257: 9.137115e-01
08D8D      //Pixel 1258: 5.529327e-01
08282      //Pixel 1259: 5.097961e-01
08888      //Pixel 1260: 5.333252e-01
07E7E      //Pixel 1261: 4.941101e-01
08B8B      //Pixel 1262: 5.450897e-01
0E7E7      //Pixel 1263: 9.058685e-01
0EDED      //Pixel 1264: 9.293976e-01
0ECEC      //Pixel 1265: 9.254761e-01
0EBEB      //Pixel 1266: 9.215546e-01
0EBEB      //Pixel 1267: 9.215546e-01
0EBEB      //Pixel 1268: 9.215546e-01
0EAEA      //Pixel 1269: 9.176331e-01
0E8E8      //Pixel 1270: 9.097900e-01
0E8E8      //Pixel 1271: 9.097900e-01
0E5E5      //Pixel 1272: 8.980255e-01
0E4E4      //Pixel 1273: 8.941040e-01
0E3E3      //Pixel 1274: 8.901825e-01
0E0E0      //Pixel 1275: 8.784180e-01
0E0E0      //Pixel 1276: 8.784180e-01
0DEDE      //Pixel 1277: 8.705750e-01
0DDDD      //Pixel 1278: 8.666534e-01
0DBDB      //Pixel 1279: 8.588104e-01
0D3D3      //Pixel 1280: 8.274384e-01
0D5D5      //Pixel 1281: 8.352814e-01
0D5D5      //Pixel 1282: 8.352814e-01
0D8D8      //Pixel 1283: 8.470459e-01
0DADA      //Pixel 1284: 8.548889e-01
0E0E0      //Pixel 1285: 8.784180e-01
0E3E3      //Pixel 1286: 8.901825e-01
0E4E4      //Pixel 1287: 8.941040e-01
0E7E7      //Pixel 1288: 9.058685e-01
0E8E8      //Pixel 1289: 9.097900e-01
0E9E9      //Pixel 1290: 9.137115e-01
0EAEA      //Pixel 1291: 9.176331e-01
0ECEC      //Pixel 1292: 9.254761e-01
0EEEE      //Pixel 1293: 9.333191e-01
0EFEF      //Pixel 1294: 9.372406e-01
0F0F0      //Pixel 1295: 9.411621e-01
0F0F0      //Pixel 1296: 9.411621e-01
0F2F2      //Pixel 1297: 9.490051e-01
0F3F3      //Pixel 1298: 9.529266e-01
0F4F4      //Pixel 1299: 9.568481e-01
0F4F4      //Pixel 1300: 9.568481e-01
0F5F5      //Pixel 1301: 9.607697e-01
0F6F6      //Pixel 1302: 9.646912e-01
0F7F7      //Pixel 1303: 9.686127e-01
0F7F7      //Pixel 1304: 9.686127e-01
0F7F7      //Pixel 1305: 9.686127e-01
0F8F8      //Pixel 1306: 9.725342e-01
0F6F6      //Pixel 1307: 9.646912e-01
0E3E3      //Pixel 1308: 8.901825e-01
08686      //Pixel 1309: 5.254822e-01
08383      //Pixel 1310: 5.137177e-01
08888      //Pixel 1311: 5.333252e-01
09C9C      //Pixel 1312: 6.117554e-01
0EBEB      //Pixel 1313: 9.215546e-01
0AFAF      //Pixel 1314: 6.862640e-01
07171      //Pixel 1315: 4.431305e-01
07F7F      //Pixel 1316: 4.980316e-01
08C8C      //Pixel 1317: 5.490112e-01
07B7B      //Pixel 1318: 4.823456e-01
0CECE      //Pixel 1319: 8.078308e-01
0F4F4      //Pixel 1320: 9.568481e-01
0E2E2      //Pixel 1321: 8.862610e-01
08D8D      //Pixel 1322: 5.529327e-01
08D8D      //Pixel 1323: 5.529327e-01
09494      //Pixel 1324: 5.803833e-01
08383      //Pixel 1325: 5.137177e-01
08A8A      //Pixel 1326: 5.411682e-01
0E6E6      //Pixel 1327: 9.019470e-01
0EBEB      //Pixel 1328: 9.215546e-01
0EBEB      //Pixel 1329: 9.215546e-01
0ECEC      //Pixel 1330: 9.254761e-01
0EBEB      //Pixel 1331: 9.215546e-01
0EBEB      //Pixel 1332: 9.215546e-01
0E9E9      //Pixel 1333: 9.137115e-01
0E8E8      //Pixel 1334: 9.097900e-01
0E8E8      //Pixel 1335: 9.097900e-01
0E5E5      //Pixel 1336: 8.980255e-01
0E3E3      //Pixel 1337: 8.901825e-01
0E2E2      //Pixel 1338: 8.862610e-01
0E0E0      //Pixel 1339: 8.784180e-01
0E0E0      //Pixel 1340: 8.784180e-01
0DFDF      //Pixel 1341: 8.744965e-01
0DDDD      //Pixel 1342: 8.666534e-01
0DBDB      //Pixel 1343: 8.588104e-01
0D3D3      //Pixel 1344: 8.274384e-01
0D5D5      //Pixel 1345: 8.352814e-01
0D5D5      //Pixel 1346: 8.352814e-01
0D8D8      //Pixel 1347: 8.470459e-01
0DADA      //Pixel 1348: 8.548889e-01
0E0E0      //Pixel 1349: 8.784180e-01
0E2E2      //Pixel 1350: 8.862610e-01
0E4E4      //Pixel 1351: 8.941040e-01
0E7E7      //Pixel 1352: 9.058685e-01
0E8E8      //Pixel 1353: 9.097900e-01
0E9E9      //Pixel 1354: 9.137115e-01
0EAEA      //Pixel 1355: 9.176331e-01
0ECEC      //Pixel 1356: 9.254761e-01
0EFEF      //Pixel 1357: 9.372406e-01
0EFEF      //Pixel 1358: 9.372406e-01
0F0F0      //Pixel 1359: 9.411621e-01
0F0F0      //Pixel 1360: 9.411621e-01
0F2F2      //Pixel 1361: 9.490051e-01
0F3F3      //Pixel 1362: 9.529266e-01
0F4F4      //Pixel 1363: 9.568481e-01
0F4F4      //Pixel 1364: 9.568481e-01
0F5F5      //Pixel 1365: 9.607697e-01
0F7F7      //Pixel 1366: 9.686127e-01
0F7F7      //Pixel 1367: 9.686127e-01
0F8F8      //Pixel 1368: 9.725342e-01
0F9FA      //Pixel 1369: 9.764709e-01
0F8F8      //Pixel 1370: 9.725342e-01
0F5F5      //Pixel 1371: 9.607697e-01
0EAEA      //Pixel 1372: 9.176331e-01
08F8F      //Pixel 1373: 5.607758e-01
08383      //Pixel 1374: 5.137177e-01
08A8A      //Pixel 1375: 5.411682e-01
09191      //Pixel 1376: 5.686188e-01
0E0E0      //Pixel 1377: 8.784180e-01
0BFBF      //Pixel 1378: 7.490082e-01
07B7B      //Pixel 1379: 4.823456e-01
08B8B      //Pixel 1380: 5.450897e-01
09494      //Pixel 1381: 5.803833e-01
08282      //Pixel 1382: 5.097961e-01
0C8C8      //Pixel 1383: 7.843018e-01
0F4F4      //Pixel 1384: 9.568481e-01
0DDDD      //Pixel 1385: 8.666534e-01
08D8D      //Pixel 1386: 5.529327e-01
08F8F      //Pixel 1387: 5.607758e-01
09494      //Pixel 1388: 5.803833e-01
08484      //Pixel 1389: 5.176392e-01
08F8F      //Pixel 1390: 5.607758e-01
0E6E6      //Pixel 1391: 9.019470e-01
0E9E9      //Pixel 1392: 9.137115e-01
0EBEB      //Pixel 1393: 9.215546e-01
0ECEC      //Pixel 1394: 9.254761e-01
0EBEB      //Pixel 1395: 9.215546e-01
0EBEB      //Pixel 1396: 9.215546e-01
0E9E9      //Pixel 1397: 9.137115e-01
0E8E8      //Pixel 1398: 9.097900e-01
0E8E8      //Pixel 1399: 9.097900e-01
0E5E5      //Pixel 1400: 8.980255e-01
0E3E3      //Pixel 1401: 8.901825e-01
0E1E1      //Pixel 1402: 8.823395e-01
0E1E1      //Pixel 1403: 8.823395e-01
0E0E0      //Pixel 1404: 8.784180e-01
0DFDF      //Pixel 1405: 8.744965e-01
0DDDD      //Pixel 1406: 8.666534e-01
0DCDC      //Pixel 1407: 8.627319e-01
0D3D3      //Pixel 1408: 8.274384e-01
0D5D5      //Pixel 1409: 8.352814e-01
0D5D5      //Pixel 1410: 8.352814e-01
0D8D8      //Pixel 1411: 8.470459e-01
0DADA      //Pixel 1412: 8.548889e-01
0DFDF      //Pixel 1413: 8.744965e-01
0E1E1      //Pixel 1414: 8.823395e-01
0E4E4      //Pixel 1415: 8.941040e-01
0E7E7      //Pixel 1416: 9.058685e-01
0E7E7      //Pixel 1417: 9.058685e-01
0EAEA      //Pixel 1418: 9.176331e-01
0EBEB      //Pixel 1419: 9.215546e-01
0ECEC      //Pixel 1420: 9.254761e-01
0EFEF      //Pixel 1421: 9.372406e-01
0EFEF      //Pixel 1422: 9.372406e-01
0F0F0      //Pixel 1423: 9.411621e-01
0F1F1      //Pixel 1424: 9.450836e-01
0F2F2      //Pixel 1425: 9.490051e-01
0F3F3      //Pixel 1426: 9.529266e-01
0F4F4      //Pixel 1427: 9.568481e-01
0F4F4      //Pixel 1428: 9.568481e-01
0F5F5      //Pixel 1429: 9.607697e-01
0F6F6      //Pixel 1430: 9.646912e-01
0E6E6      //Pixel 1431: 9.019470e-01
0E2E2      //Pixel 1432: 8.862610e-01
0F6F6      //Pixel 1433: 9.646912e-01
0F8F8      //Pixel 1434: 9.725342e-01
0F6F6      //Pixel 1435: 9.646912e-01
0F0F0      //Pixel 1436: 9.411621e-01
09B9B      //Pixel 1437: 6.078339e-01
08484      //Pixel 1438: 5.176392e-01
08D8D      //Pixel 1439: 5.529327e-01
08989      //Pixel 1440: 5.372467e-01
0CACA      //Pixel 1441: 7.921448e-01
0CDCD      //Pixel 1442: 8.039093e-01
08181      //Pixel 1443: 5.058746e-01
08F8F      //Pixel 1444: 5.607758e-01
09696      //Pixel 1445: 5.882263e-01
08383      //Pixel 1446: 5.137177e-01
0C0C0      //Pixel 1447: 7.529297e-01
0F4F4      //Pixel 1448: 9.568481e-01
0D7D7      //Pixel 1449: 8.431244e-01
09090      //Pixel 1450: 5.646973e-01
09292      //Pixel 1451: 5.725403e-01
09494      //Pixel 1452: 5.803833e-01
08181      //Pixel 1453: 5.058746e-01
09696      //Pixel 1454: 5.882263e-01
0E6E6      //Pixel 1455: 9.019470e-01
0E9E9      //Pixel 1456: 9.137115e-01
0EBEB      //Pixel 1457: 9.215546e-01
0ECEC      //Pixel 1458: 9.254761e-01
0EBEB      //Pixel 1459: 9.215546e-01
0EBEB      //Pixel 1460: 9.215546e-01
0E9E9      //Pixel 1461: 9.137115e-01
0E8E8      //Pixel 1462: 9.097900e-01
0E7E7      //Pixel 1463: 9.058685e-01
0E4E4      //Pixel 1464: 8.941040e-01
0E3E3      //Pixel 1465: 8.901825e-01
0E2E2      //Pixel 1466: 8.862610e-01
0E0E0      //Pixel 1467: 8.784180e-01
0DFDF      //Pixel 1468: 8.744965e-01
0DFDF      //Pixel 1469: 8.744965e-01
0DDDD      //Pixel 1470: 8.666534e-01
0DBDB      //Pixel 1471: 8.588104e-01
0D3D3      //Pixel 1472: 8.274384e-01
0D5D5      //Pixel 1473: 8.352814e-01
0D5D5      //Pixel 1474: 8.352814e-01
0D7D7      //Pixel 1475: 8.431244e-01
0DADA      //Pixel 1476: 8.548889e-01
0E0E0      //Pixel 1477: 8.784180e-01
0E2E2      //Pixel 1478: 8.862610e-01
0E4E4      //Pixel 1479: 8.941040e-01
0E7E7      //Pixel 1480: 9.058685e-01
0E8E8      //Pixel 1481: 9.097900e-01
0E9E9      //Pixel 1482: 9.137115e-01
0EBEB      //Pixel 1483: 9.215546e-01
0ECEC      //Pixel 1484: 9.254761e-01
0EEEE      //Pixel 1485: 9.333191e-01
0EFEF      //Pixel 1486: 9.372406e-01
0F0F0      //Pixel 1487: 9.411621e-01
0F0F0      //Pixel 1488: 9.411621e-01
0F2F2      //Pixel 1489: 9.490051e-01
0F3F3      //Pixel 1490: 9.529266e-01
0F4F4      //Pixel 1491: 9.568481e-01
0F4F4      //Pixel 1492: 9.568481e-01
0F6F6      //Pixel 1493: 9.646912e-01
0E4E4      //Pixel 1494: 8.941040e-01
0A1A1      //Pixel 1495: 6.313629e-01
09999      //Pixel 1496: 5.999908e-01
0DEDE      //Pixel 1497: 8.705750e-01
0F8F8      //Pixel 1498: 9.725342e-01
0F6F6      //Pixel 1499: 9.646912e-01
0F2F2      //Pixel 1500: 9.490051e-01
0A8A8      //Pixel 1501: 6.588135e-01
08787      //Pixel 1502: 5.294037e-01
08E8E      //Pixel 1503: 5.568542e-01
08888      //Pixel 1504: 5.333252e-01
0B0B0      //Pixel 1505: 6.901855e-01
0D2D2      //Pixel 1506: 8.235168e-01
08383      //Pixel 1507: 5.137177e-01
09191      //Pixel 1508: 5.686188e-01
08F8F      //Pixel 1509: 5.607758e-01
08181      //Pixel 1510: 5.058746e-01
0B8B8      //Pixel 1511: 7.215576e-01
0F4F4      //Pixel 1512: 9.568481e-01
0D2D2      //Pixel 1513: 8.235168e-01
09292      //Pixel 1514: 5.725403e-01
09494      //Pixel 1515: 5.803833e-01
09393      //Pixel 1516: 5.764618e-01
07E7E      //Pixel 1517: 4.941101e-01
0A0A0      //Pixel 1518: 6.274414e-01
0EAEA      //Pixel 1519: 9.176331e-01
0EBEB      //Pixel 1520: 9.215546e-01
0EBEB      //Pixel 1521: 9.215546e-01
0EBEB      //Pixel 1522: 9.215546e-01
0EBEB      //Pixel 1523: 9.215546e-01
0EBEB      //Pixel 1524: 9.215546e-01
0EAEA      //Pixel 1525: 9.176331e-01
0E8E8      //Pixel 1526: 9.097900e-01
0E7E7      //Pixel 1527: 9.058685e-01
0E4E4      //Pixel 1528: 8.941040e-01
0E4E4      //Pixel 1529: 8.941040e-01
0E2E2      //Pixel 1530: 8.862610e-01
0E1E1      //Pixel 1531: 8.823395e-01
0DFDF      //Pixel 1532: 8.744965e-01
0DEDE      //Pixel 1533: 8.705750e-01
0DBDB      //Pixel 1534: 8.588104e-01
0DBDB      //Pixel 1535: 8.588104e-01
0D3D3      //Pixel 1536: 8.274384e-01
0D5D5      //Pixel 1537: 8.352814e-01
0D5D5      //Pixel 1538: 8.352814e-01
0D6D6      //Pixel 1539: 8.392029e-01
0DADA      //Pixel 1540: 8.548889e-01
0DFDF      //Pixel 1541: 8.744965e-01
0E1E1      //Pixel 1542: 8.823395e-01
0E4E4      //Pixel 1543: 8.941040e-01
0E6E6      //Pixel 1544: 9.019470e-01
0E7E7      //Pixel 1545: 9.058685e-01
0E9E9      //Pixel 1546: 9.137115e-01
0EAEA      //Pixel 1547: 9.176331e-01
0EBEB      //Pixel 1548: 9.215546e-01
0EDED      //Pixel 1549: 9.293976e-01
0EEEE      //Pixel 1550: 9.333191e-01
0EFEF      //Pixel 1551: 9.372406e-01
0F0F0      //Pixel 1552: 9.411621e-01
0F2F2      //Pixel 1553: 9.490051e-01
0F3F3      //Pixel 1554: 9.529266e-01
0F4F4      //Pixel 1555: 9.568481e-01
0F4F4      //Pixel 1556: 9.568481e-01
0F6F6      //Pixel 1557: 9.646912e-01
0C5C5      //Pixel 1558: 7.725372e-01
07F7F      //Pixel 1559: 4.980316e-01
08787      //Pixel 1560: 5.294037e-01
0B1B1      //Pixel 1561: 6.941071e-01
0F7F7      //Pixel 1562: 9.686127e-01
0F7F7      //Pixel 1563: 9.686127e-01
0F4F4      //Pixel 1564: 9.568481e-01
0B5B5      //Pixel 1565: 7.097931e-01
08484      //Pixel 1566: 5.176392e-01
08989      //Pixel 1567: 5.372467e-01
08484      //Pixel 1568: 5.176392e-01
09292      //Pixel 1569: 5.725403e-01
0D3D3      //Pixel 1570: 8.274384e-01
08484      //Pixel 1571: 5.176392e-01
08B8B      //Pixel 1572: 5.450897e-01
08484      //Pixel 1573: 5.176392e-01
07E7E      //Pixel 1574: 4.941101e-01
0ADAD      //Pixel 1575: 6.784210e-01
0F2F2      //Pixel 1576: 9.490051e-01
0CDCD      //Pixel 1577: 8.039093e-01
09595      //Pixel 1578: 5.843048e-01
09595      //Pixel 1579: 5.843048e-01
09393      //Pixel 1580: 5.764618e-01
07979      //Pixel 1581: 4.745026e-01
0A8A8      //Pixel 1582: 6.588135e-01
0EBEB      //Pixel 1583: 9.215546e-01
0EAEA      //Pixel 1584: 9.176331e-01
0EBEB      //Pixel 1585: 9.215546e-01
0ECEC      //Pixel 1586: 9.254761e-01
0EBEB      //Pixel 1587: 9.215546e-01
0EBEB      //Pixel 1588: 9.215546e-01
0EAEA      //Pixel 1589: 9.176331e-01
0E8E8      //Pixel 1590: 9.097900e-01
0E7E7      //Pixel 1591: 9.058685e-01
0E4E4      //Pixel 1592: 8.941040e-01
0E3E3      //Pixel 1593: 8.901825e-01
0E2E2      //Pixel 1594: 8.862610e-01
0E0E0      //Pixel 1595: 8.784180e-01
0DFDF      //Pixel 1596: 8.744965e-01
0DDDD      //Pixel 1597: 8.666534e-01
0DCDC      //Pixel 1598: 8.627319e-01
0DADA      //Pixel 1599: 8.548889e-01
0D3D3      //Pixel 1600: 8.274384e-01
0D5D5      //Pixel 1601: 8.352814e-01
0D5D5      //Pixel 1602: 8.352814e-01
0D6D6      //Pixel 1603: 8.392029e-01
0DADA      //Pixel 1604: 8.548889e-01
0E0E0      //Pixel 1605: 8.784180e-01
0E2E2      //Pixel 1606: 8.862610e-01
0E4E4      //Pixel 1607: 8.941040e-01
0E7E7      //Pixel 1608: 9.058685e-01
0E7E7      //Pixel 1609: 9.058685e-01
0E9E9      //Pixel 1610: 9.137115e-01
0E9E9      //Pixel 1611: 9.137115e-01
0EBEB      //Pixel 1612: 9.215546e-01
0EDED      //Pixel 1613: 9.293976e-01
0EEEE      //Pixel 1614: 9.333191e-01
0EFEF      //Pixel 1615: 9.372406e-01
0F0F0      //Pixel 1616: 9.411621e-01
0F1F1      //Pixel 1617: 9.450836e-01
0F2F2      //Pixel 1618: 9.490051e-01
0F4F4      //Pixel 1619: 9.568481e-01
0F4F4      //Pixel 1620: 9.568481e-01
0F4F4      //Pixel 1621: 9.568481e-01
0B7B7      //Pixel 1622: 7.176361e-01
07272      //Pixel 1623: 4.470520e-01
08181      //Pixel 1624: 5.058746e-01
09090      //Pixel 1625: 5.646973e-01
0F1F1      //Pixel 1626: 9.450836e-01
0F8F8      //Pixel 1627: 9.725342e-01
0F5F5      //Pixel 1628: 9.607697e-01
0BEBE      //Pixel 1629: 7.450867e-01
08080      //Pixel 1630: 5.019531e-01
08A8A      //Pixel 1631: 5.411682e-01
08A8A      //Pixel 1632: 5.411682e-01
08585      //Pixel 1633: 5.215607e-01
0D0D0      //Pixel 1634: 8.156738e-01
08787      //Pixel 1635: 5.294037e-01
08282      //Pixel 1636: 5.097961e-01
08181      //Pixel 1637: 5.058746e-01
08484      //Pixel 1638: 5.176392e-01
0A5A5      //Pixel 1639: 6.470490e-01
0F0F0      //Pixel 1640: 9.411621e-01
0C3C3      //Pixel 1641: 7.646942e-01
09494      //Pixel 1642: 5.803833e-01
09494      //Pixel 1643: 5.803833e-01
09292      //Pixel 1644: 5.725403e-01
07777      //Pixel 1645: 4.666595e-01
0AEAE      //Pixel 1646: 6.823425e-01
0ECEC      //Pixel 1647: 9.254761e-01
0EAEA      //Pixel 1648: 9.176331e-01
0ECEC      //Pixel 1649: 9.254761e-01
0EBEB      //Pixel 1650: 9.215546e-01
0EBEB      //Pixel 1651: 9.215546e-01
0EBEB      //Pixel 1652: 9.215546e-01
0EAEA      //Pixel 1653: 9.176331e-01
0E8E8      //Pixel 1654: 9.097900e-01
0E7E7      //Pixel 1655: 9.058685e-01
0E4E4      //Pixel 1656: 8.941040e-01
0E4E4      //Pixel 1657: 8.941040e-01
0E2E2      //Pixel 1658: 8.862610e-01
0E0E0      //Pixel 1659: 8.784180e-01
0DFDF      //Pixel 1660: 8.744965e-01
0DDDD      //Pixel 1661: 8.666534e-01
0DCDC      //Pixel 1662: 8.627319e-01
0D9D9      //Pixel 1663: 8.509674e-01
0D2D2      //Pixel 1664: 8.235168e-01
0D4D4      //Pixel 1665: 8.313599e-01
0D5D5      //Pixel 1666: 8.352814e-01
0D6D6      //Pixel 1667: 8.392029e-01
0DBDB      //Pixel 1668: 8.588104e-01
0DFDF      //Pixel 1669: 8.744965e-01
0E2E2      //Pixel 1670: 8.862610e-01
0E4E4      //Pixel 1671: 8.941040e-01
0E5E5      //Pixel 1672: 8.980255e-01
0E7E7      //Pixel 1673: 9.058685e-01
0E8E8      //Pixel 1674: 9.097900e-01
0EAEA      //Pixel 1675: 9.176331e-01
0EBEB      //Pixel 1676: 9.215546e-01
0ECEC      //Pixel 1677: 9.254761e-01
0EEEE      //Pixel 1678: 9.333191e-01
0EEEE      //Pixel 1679: 9.333191e-01
0F0F0      //Pixel 1680: 9.411621e-01
0F1F1      //Pixel 1681: 9.450836e-01
0F2F2      //Pixel 1682: 9.490051e-01
0F3F3      //Pixel 1683: 9.529266e-01
0F4F4      //Pixel 1684: 9.568481e-01
0F5F5      //Pixel 1685: 9.607697e-01
0BCBC      //Pixel 1686: 7.372437e-01
06D6D      //Pixel 1687: 4.274445e-01
07575      //Pixel 1688: 4.588165e-01
07E7E      //Pixel 1689: 4.941101e-01
0E7E7      //Pixel 1690: 9.058685e-01
0F8F8      //Pixel 1691: 9.725342e-01
0F6F6      //Pixel 1692: 9.646912e-01
0C9C9      //Pixel 1693: 7.882233e-01
07B7B      //Pixel 1694: 4.823456e-01
08F8F      //Pixel 1695: 5.607758e-01
09696      //Pixel 1696: 5.882263e-01
08C8C      //Pixel 1697: 5.490112e-01
0C9C9      //Pixel 1698: 7.882233e-01
08F8F      //Pixel 1699: 5.607758e-01
07676      //Pixel 1700: 4.627380e-01
07A7A      //Pixel 1701: 4.784241e-01
08181      //Pixel 1702: 5.058746e-01
09B9B      //Pixel 1703: 6.078339e-01
0E8E8      //Pixel 1704: 9.097900e-01
0AFAF      //Pixel 1705: 6.862640e-01
09292      //Pixel 1706: 5.725403e-01
09292      //Pixel 1707: 5.725403e-01
08E8E      //Pixel 1708: 5.568542e-01
07575      //Pixel 1709: 4.588165e-01
0B3B3      //Pixel 1710: 7.019501e-01
0EBEB      //Pixel 1711: 9.215546e-01
0EAEA      //Pixel 1712: 9.176331e-01
0EBEB      //Pixel 1713: 9.215546e-01
0ECEC      //Pixel 1714: 9.254761e-01
0EBEB      //Pixel 1715: 9.215546e-01
0EAEA      //Pixel 1716: 9.176331e-01
0E8E8      //Pixel 1717: 9.097900e-01
0E7E7      //Pixel 1718: 9.058685e-01
0E6E6      //Pixel 1719: 9.019470e-01
0E4E4      //Pixel 1720: 8.941040e-01
0E3E3      //Pixel 1721: 8.901825e-01
0E0E0      //Pixel 1722: 8.784180e-01
0E0E0      //Pixel 1723: 8.784180e-01
0DFDF      //Pixel 1724: 8.744965e-01
0DDDD      //Pixel 1725: 8.666534e-01
0DBDB      //Pixel 1726: 8.588104e-01
0D9D9      //Pixel 1727: 8.509674e-01
0D1D1      //Pixel 1728: 8.195953e-01
0D3D3      //Pixel 1729: 8.274384e-01
0D4D4      //Pixel 1730: 8.313599e-01
0D6D6      //Pixel 1731: 8.392029e-01
0DADA      //Pixel 1732: 8.548889e-01
0DFDF      //Pixel 1733: 8.744965e-01
0E1E1      //Pixel 1734: 8.823395e-01
0E3E3      //Pixel 1735: 8.901825e-01
0E5E5      //Pixel 1736: 8.980255e-01
0E7E7      //Pixel 1737: 9.058685e-01
0E8E8      //Pixel 1738: 9.097900e-01
0EAEA      //Pixel 1739: 9.176331e-01
0EBEB      //Pixel 1740: 9.215546e-01
0ECEC      //Pixel 1741: 9.254761e-01
0EEEE      //Pixel 1742: 9.333191e-01
0EEEE      //Pixel 1743: 9.333191e-01
0EFEF      //Pixel 1744: 9.372406e-01
0F0F0      //Pixel 1745: 9.411621e-01
0F2F2      //Pixel 1746: 9.490051e-01
0F3F3      //Pixel 1747: 9.529266e-01
0F4F4      //Pixel 1748: 9.568481e-01
0F4F4      //Pixel 1749: 9.568481e-01
0C9C9      //Pixel 1750: 7.882233e-01
06D6D      //Pixel 1751: 4.274445e-01
07878      //Pixel 1752: 4.705811e-01
07B7B      //Pixel 1753: 4.823456e-01
0D6D6      //Pixel 1754: 8.392029e-01
0F8F8      //Pixel 1755: 9.725342e-01
0F5F5      //Pixel 1756: 9.607697e-01
0D8D8      //Pixel 1757: 8.470459e-01
08282      //Pixel 1758: 5.097961e-01
09292      //Pixel 1759: 5.725403e-01
09797      //Pixel 1760: 5.921478e-01
08F8F      //Pixel 1761: 5.607758e-01
0BBBB      //Pixel 1762: 7.333221e-01
09797      //Pixel 1763: 5.921478e-01
06565      //Pixel 1764: 3.960724e-01
06D6D      //Pixel 1765: 4.274445e-01
07E7E      //Pixel 1766: 4.941101e-01
09090      //Pixel 1767: 5.646973e-01
0D1D1      //Pixel 1768: 8.195953e-01
09E9E      //Pixel 1769: 6.195984e-01
09494      //Pixel 1770: 5.803833e-01
09090      //Pixel 1771: 5.646973e-01
08989      //Pixel 1772: 5.372467e-01
07373      //Pixel 1773: 4.509735e-01
0B7B7      //Pixel 1774: 7.176361e-01
0EBEB      //Pixel 1775: 9.215546e-01
0EAEA      //Pixel 1776: 9.176331e-01
0EBEB      //Pixel 1777: 9.215546e-01
0EBEB      //Pixel 1778: 9.215546e-01
0EBEB      //Pixel 1779: 9.215546e-01
0EAEA      //Pixel 1780: 9.176331e-01
0E8E8      //Pixel 1781: 9.097900e-01
0E7E7      //Pixel 1782: 9.058685e-01
0E6E6      //Pixel 1783: 9.019470e-01
0E4E4      //Pixel 1784: 8.941040e-01
0E2E2      //Pixel 1785: 8.862610e-01
0E0E0      //Pixel 1786: 8.784180e-01
0E0E0      //Pixel 1787: 8.784180e-01
0DFDF      //Pixel 1788: 8.744965e-01
0DCDC      //Pixel 1789: 8.627319e-01
0DBDB      //Pixel 1790: 8.588104e-01
0D9D9      //Pixel 1791: 8.509674e-01
0D1D1      //Pixel 1792: 8.195953e-01
0D3D3      //Pixel 1793: 8.274384e-01
0D4D4      //Pixel 1794: 8.313599e-01
0D5D5      //Pixel 1795: 8.352814e-01
0D9D9      //Pixel 1796: 8.509674e-01
0DFDF      //Pixel 1797: 8.744965e-01
0E1E1      //Pixel 1798: 8.823395e-01
0E3E3      //Pixel 1799: 8.901825e-01
0E5E5      //Pixel 1800: 8.980255e-01
0E6E6      //Pixel 1801: 9.019470e-01
0E7E7      //Pixel 1802: 9.058685e-01
0E9E9      //Pixel 1803: 9.137115e-01
0EBEB      //Pixel 1804: 9.215546e-01
0EBEB      //Pixel 1805: 9.215546e-01
0ECEC      //Pixel 1806: 9.254761e-01
0EDED      //Pixel 1807: 9.293976e-01
0EFEF      //Pixel 1808: 9.372406e-01
0EFEF      //Pixel 1809: 9.372406e-01
0F1F1      //Pixel 1810: 9.450836e-01
0F2F2      //Pixel 1811: 9.490051e-01
0F3F3      //Pixel 1812: 9.529266e-01
